"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","R1",15,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","R2",15,11
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","R3",15,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","V1",15,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","V2",15,15
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","V3",15,0
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","V4",15,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","CARXXX","V5",15,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","LTR",21,4
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","R1",21,15
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","R2",21,14
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","R3",21,13
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","V1",21,21
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","V2",21,21
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","V3",21,7
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","V4",21,18
"NIWOT","NIWOT.BS_LEFTY.CF",2018,"OTC","GEUROS","V5",21,20
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","LTR",14,14
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","R1",14,10
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","R2",14,13
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","R3",14,13
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","V1",14,0
"NIWOT","NIWOT.BS_LEFTY.CF",2019,"CTL","ARTSCO","V2",14,10
