"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,12,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,0,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,11,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,20,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,20,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","CTL",20,1,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,4,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,10,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,20,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,20,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2011","OTC",20,6,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,4,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,3,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,20,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","CTL",20,3,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,10,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,11,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,20,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2012","OTC",20,12,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,2,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,1,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","CTL",20,8,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,9,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,9,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2013","OTC",20,15,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,0,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,0,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,20,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2014","CTL",20,20,"seed shed"
