"year","treatment","spp","phen_stage","ct","ct_na","site_name","subsite"
"2016","SNOWFENCE|OTC","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2016","SNOWFENCE|OTC","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","BETNAN","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","BETNAN","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","BETNAN","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","CARXXX","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","ERIVAG","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","ERIVAG","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","CTL","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","BETNAN","all.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","BETNAN","bud.burst",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","BETNAN","some.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","CARXXX","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","ERIVAG","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","ERIVAG","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","OTC","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","BETNAN","all.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","BETNAN","bud.burst",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","BETNAN","some.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","CARXXX","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","ERIVAG","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","ERIVAG","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","BETNAN","all.senesced",9,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","BETNAN","bud.burst",9,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","BETNAN","some.senesced",9,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","CARXXX","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2017","SNOWFENCE|OTC","ERIVAG","all.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
