"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,1,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2004","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,3,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,4,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,6,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,4,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,8,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2004","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,1,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,4,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,10,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,10,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,10,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,10,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","CTL",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,1,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,2,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,2,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,3,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,2,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","ledum","2005","OTC",20,0,"obs snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,6,"first flower bud"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,8,"first flower open"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,8,"first flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,8,"first fruit visible"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,8,"last flower shed"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,20,"MET snow free"
"DARING","DARING.TERNPLOT_B.KC","vaccinium","2005","OTC",20,0,"obs snow free"
