"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"67","ALEXFIORD_ALEXFIORD.FERT.GH_2007_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL","29",159,"YR"
"68","ALEXFIORD_ALEXFIORD.FERT.GH_2008_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL","29",166,"YR"
"69","ALEXFIORD_ALEXFIORD.FERT.GH_2010_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL","29",167,"YR"
"70","ALEXFIORD_ALEXFIORD.FERT.GH_2003_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC","30",167,"YR"
"71","ALEXFIORD_ALEXFIORD.FERT.GH_2004_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC","30",165,"YR"
"72","ALEXFIORD_ALEXFIORD.FERT.GH_2005_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC","30",169,"YR"
"73","ALEXFIORD_ALEXFIORD.FERT.GH_2008_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC","30",165,"YR"
"74","ALEXFIORD_ALEXFIORD.FERT.GH_2010_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC","30",163,"YR"
"75","ALEXFIORD_ALEXFIORD.FERT.GH_2003_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL","37",165,"YR"
"76","ALEXFIORD_ALEXFIORD.FERT.GH_2004_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL","37",164,"YR"
"77","ALEXFIORD_ALEXFIORD.FERT.GH_2005_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL","37",164,"YR"
"78","ALEXFIORD_ALEXFIORD.FERT.GH_2007_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL","37",158,"YR"
"79","ALEXFIORD_ALEXFIORD.FERT.GH_2008_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL","37",164,"YR"
"80","ALEXFIORD_ALEXFIORD.FERT.GH_2010_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL","37",165,"YR"
"81","ALEXFIORD_ALEXFIORD.FERT.GH_2003_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC","38",169,"YR"
"82","ALEXFIORD_ALEXFIORD.FERT.GH_2004_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC","38",164,"YR"
"83","ALEXFIORD_ALEXFIORD.FERT.GH_2005_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC","38",169,"YR"
"84","ALEXFIORD_ALEXFIORD.FERT.GH_2008_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC","38",166,"YR"
"85","ALEXFIORD_ALEXFIORD.FERT.GH_2010_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC","38",165,"YR"
"86","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","1",176,"YR"
"87","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","2",175,"YR"
"88","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","3",175,"YR"
"89","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","4",175,"YR"
"90","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","5",175,"YR"
"91","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","6",175,"YR"
"92","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","7",175,"YR"
