Site:Subsite,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Latnjajaure_Dry Meadow,-2.11301,0.772956,-3.79445,-0.69534,End of Flowering ,39
Latnjajaure_Wet Sedge,-2.02729,0.757025,-3.64777,-0.58495,End of Flowering ,40
Latnjajaure_Dry Meadow,-3.1198,1.746435,-6.83853,0.143757,Seed Dispersal,32
Latnjajaure_Tussock Tundra,-3.15058,1.76149,-6.91751,0.191833,Seed Dispersal,38
Latnjajaure_Wet Sedge,-2.8518,1.726169,-6.27838,0.640638,Seed Dispersal,48
Latnjajaure_Dry Meadow,0.742142,0.525483,-0.40426,1.749568,Leaf Senescence ,50
Latnjajaure_Wet Sedge,0.713778,0.552746,-0.48941,1.762708,Leaf Senescence ,50
Niwot Ridge_Audobon,-0.6412,0.702522,-2.13718,0.699779,Green up,42
Niwot Ridge_EK,-0.98649,0.755015,-2.7177,0.34093,Green up,60
Niwot Ridge_Lefty,-0.70356,0.68268,-2.14118,0.624423,Green up,132
Niwot Ridge_Trough,-0.29849,0.814283,-1.93879,1.347785,Green up,77
Niwot Ridge_Audobon,-2.28154,0.85991,-4.08332,-0.61287,Flowering,101
Niwot Ridge_EK,-2.62506,0.905346,-4.44852,-0.81851,Flowering,75
Niwot Ridge_Lefty,-2.50807,0.816646,-4.18819,-0.91326,Flowering,53
Niwot Ridge_Trough,-2.16089,0.986929,-4.16942,-0.2157,Flowering,80
Niwot Ridge_Itexnutsnow,-2.4262,0.816313,-4.05623,-0.82935,Flowering,158
Niwot Ridge_Sadsnfc,-2.29088,0.834731,-4.00431,-0.60031,Flowering,168
Niwot Ridge_Audobon,-1.90104,0.758426,-3.4198,-0.32986,End of Flowering ,71
Niwot Ridge_EK,-1.86958,0.892085,-3.58113,0.077824,End of Flowering ,72
Niwot Ridge_Lefty,-1.94073,0.761387,-3.48801,-0.40357,End of Flowering ,51
Niwot Ridge_Trough,-2.05775,0.92042,-4.03347,-0.28186,End of Flowering ,79
