Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Alexandra Fiord_2013,-1.96345,0.627751,-3.25961,-0.72182,End of Flowering,152
Alexandra Fiord_2013,-2.67907,1.920198,-6.68486,0.954312,Fruiting,167
Alexandra Fiord_2013,-2.97292,1.519432,-6.08259,-0.01495,Seed Dispersal,38
Alexandra Fiord_2013,0.902658,0.488984,-0.03224,1.921966,Leaf Senescence,152
Alexandra Fiord_2015,-2.46172,0.65788,-3.83305,-1.24337,Flowering,24
Alexandra Fiord_2015,-1.93055,0.66094,-3.26996,-0.61124,End of Flowering,23
Alexandra Fiord _2015,-2.61071,1.916658,-6.64856,1.048225,Fruiting,24
Atqasuk_1998,-0.75822,0.54806,-1.94554,0.253119,Green up,1367
Atqasuk_1998,-2.4206,0.656349,-3.79058,-1.20517,Flowering,404
Atqasuk_1998,-1.98587,0.624168,-3.27511,-0.73624,End of Flowering,398
Atqasuk_1998,-2.41449,1.913275,-6.43509,1.194369,Fruiting,267
Atqasuk_1998,-2.72073,1.500592,-5.74269,0.236392,Seed Dispersal,209
Atqasuk_1998,0.659101,0.456124,-0.31745,1.492381,Leaf Senescence,414
Atqasuk_1999,-0.67883,0.543338,-1.84807,0.355609,Green up,1358
Atqasuk_1999,-2.45003,0.656105,-3.817,-1.23554,Flowering,413
Atqasuk_1999,-1.94299,0.623199,-3.20998,-0.69837,End of Flowering,409
Atqasuk_1999,-2.56277,1.910769,-6.53846,1.093262,Fruiting,267
Atqasuk_1999,-2.96108,1.486331,-5.97276,-0.09322,Seed Dispersal,212
Atqasuk_1999,0.821683,0.443323,-0.05794,1.71537,Leaf Senescence,403
Atqasuk_2000,-0.71733,0.54002,-1.89789,0.26951,Green up,1355
Atqasuk_2000,-2.44855,0.656338,-3.82376,-1.24801,Flowering,402
Atqasuk_2000,-1.97705,0.623089,-3.2523,-0.75575,End of Flowering,398
Atqasuk_2000,-2.61935,1.90837,-6.61753,1.000128,Fruiting,238
Atqasuk_2000,-2.93992,1.490555,-5.92847,-0.00021,Seed Dispersal,114
Atqasuk_2000,0.825329,0.441657,-0.04597,1.717455,Leaf Senescence,307
Atqasuk_2001,-0.70644,0.606321,-1.9966,0.439057,Green up,281
Atqasuk_2001,-2.47827,0.661684,-3.86142,-1.27108,Flowering,80
Atqasuk_2001,-1.92288,0.647963,-3.20997,-0.64148,End of Flowering,68
Atqasuk_2001,-3.14124,2.030049,-7.4743,0.652099,Fruiting,51
