Genus,Species,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Eriophorum,chamissonis,-1.798913,0.6735711,-3.155113,-0.4205727,End of Flowering,307
Eriophorum,chamissonis,-2.57239,1.931744,-6.67367,0.978236,Fruiting,264
Eriophorum,chamissonis,-2.98907,1.523784,-6.06233,0.020508,Seed Dispersal,147
Eriophorum,scheuchzeri,-2.8269,0.925231,-4.81102,-1.07303,Flowering,6
Eriophorum,vaginatum,-0.76069,0.537794,-1.9384,0.233193,Green up,215
Eriophorum,vaginatum,-1.90543,0.813633,-3.52261,-0.28412,Flowering,615
Eriophorum,vaginatum,-2.91263,1.580835,-6.06621,0.2164,Seed Dispersal,520
Eriophorum,vaginatum,0.787681,0.502755,-0.2382,1.840978,Leaf Senescence,299
Euphrasia,minima,-3.10489,0.997257,-5.22119,-1.32194,Flowering,8
Festuca,brachyphylla,-2.80503,0.947246,-4.83525,-1.03188,Flowering,8
Festuca,brachyphylla,-1.877567,0.6786832,-3.283167,-0.4882085,End of Flowering,8
Gentiana,algida,-3.60013,1.22147,-6.1768,-1.44291,Flowering,11
Gentianella,amarella,-3.38884,1.117222,-5.84452,-1.44509,Flowering,6
Geum,rosii,-0.71775,0.545068,-1.90969,0.300094,Green up,161
Geum,rosii,-2.21632,0.839231,-3.99936,-0.57694,Flowering,230
Geum,rosii,-1.875256,0.6538383,-3.195075,-0.5426202,End of Flowering,286
Geum,rosii,0.783564,0.543359,-0.3336,1.907173,Leaf Senescence,285
Geum,rossii,-0.71775,0.545068,-1.90969,0.300094,Green up,161
Geum,rossii,-2.21632,0.839231,-3.99936,-0.57694,Flowering,230
Geum,rossii,-1.875256,0.6538383,-3.195075,-0.5426202,End of Flowering,286
Geum,rossii,0.783564,0.543359,-0.3336,1.907173,Leaf Senescence,285
Helictotrichon,versicolor,-2.63948,0.881699,-4.51461,-1.00788,Flowering,16
Helictotrichon,versicolor,-1.874759,0.6646221,-3.220597,-0.5106325,End of Flowering,15
Hieracium,bupleuroides,-2.82252,0.93316,-4.81347,-1.07668,Flowering,5
Hierochloe,alpina,-0.729,0.532392,-1.89176,0.242844,Green up,386
Hierochloe,alpina,-2.53853,0.826428,-4.26143,-0.98103,Flowering,451
Hierochloe,alpina,-1.883471,0.644946,-3.204774,-0.5837294,End of Flowering,472
Hierochloe,alpina,-2.57292,1.929671,-6.64879,1.045192,Fruiting,185
Hierochloe,alpina,-2.89056,1.534574,-5.99043,0.165163,Seed Dispersal,392
Hierochloe,alpina,0.655683,0.568036,-0.67376,1.653222,Leaf Senescence,255
Hierochloe,pauciflora,-0.73113,0.522031,-1.87101,0.204745,Green up,557
Hierochloe,pauciflora,-2.66702,0.827463,-4.40237,-1.10234,Flowering,433
Hierochloe,pauciflora,-1.861313,0.6495705,-3.176191,-0.5321099,End of Flowering,414
Hierochloe,pauciflora,-2.63285,1.941605,-6.69241,1.025328,Fruiting,141
Hierochloe,pauciflora,0.824375,0.52418,-0.22182,1.928444,Leaf Senescence,303
Jacobaea,incana,-2.69028,0.892932,-4.58759,-0.99286,Flowering,7
Juncus,biglumis,-0.65083,0.626256,-1.98964,0.565736,Green up,432
Juncus,biglumis,-2.33485,0.850689,-4.0185,-0.53402,Flowering,221
Juncus,biglumis,-1.847323,0.657925,-3.150479,-0.5036356,End of Flowering,160
Juncus,biglumis,-2.51142,1.925351,-6.56738,1.094781,Fruiting,225
Juncus,biglumis,-2.90759,1.575423,-6.0901,0.204557,Seed Dispersal,21
Juncus,biglumis,0.758062,0.553148,-0.41712,1.836198,Leaf Senescence,163
Ledum,decumbens,-0.74012,0.530117,-1.87793,0.231417,Green up,78
Ledum,decumbens,-2.25443,0.808222,-3.90097,-0.62095,Flowering,745
Ledum,decumbens,-1.923728,0.6454773,-3.270448,-0.6557735,End of Flowering,703
Ledum,decumbens,-2.6709,1.944415,-6.80009,0.925022,Fruiting,593
Ledum,decumbens,0.824795,0.538667,-0.20793,1.98452,Leaf Senescence,100
Ledum,palustre,-0.67077,0.59918,-1.94552,0.492371,Green up,674
Ledum,palustre,-2.58778,0.817051,-4.31386,-1.09048,Flowering,632
Ledum,palustre,-1.895627,0.6510605,-3.21532,-0.6053739,End of Flowering,605
Ledum,palustre,-2.62087,1.924643,-6.71612,1.004082,Fruiting,591
Ledum,palustre,-2.65599,1.649813,-5.84241,0.811004,Seed Dispersal,131
Ledum,palustre,0.601132,0.580687,-0.80123,1.576633,Leaf Senescence,427
Leucanthemopsis,alpina,-3.0623,0.917729,-5.05356,-1.39705,Flowering,714
Leucanthemopsis,alpina,-1.874767,0.6831243,-3.264916,-0.4847113,End of Flowering,10
Leucanthemopsis,alpina,-2.77017,1.974627,-6.82171,0.957493,Fruiting,519
Leucanthemopsis,alpina,-2.89023,1.552527,-5.93858,0.272801,Seed Dispersal,631
Leucanthemum,halleri,-2.63635,0.894383,-4.52524,-0.90072,Flowering,8
Lewisia,pygmaea,-1.876712,0.6883943,-3.262851,-0.4822715,End of Flowering,7
Loiseleuria,procumbens,-2.41529,0.840358,-4.14627,-0.75487,Flowering,38
Loiseleuria,procumbens,-1.870437,0.6518104,-3.20833,-0.5603733,End of Flowering,31
Loiseleuria,procumbens,-2.88284,2.224726,-7.32113,1.755524,Seed Dispersal,24
Loiseleuria,procumbens,0.65274,0.574591,-0.64224,1.702809,Leaf Senescence,28
Luzula,arcuata,-0.73277,0.532886,-1.89536,0.250365,Green up,46
Luzula,arcuata,-2.19232,0.888857,-4.03933,-0.45414,Flowering,33
Luzula,arcuata,-2.90436,1.680324,-6.27399,0.470692,Seed Dispersal,35
Luzula,arcuata,0.750627,0.585815,-0.4842,1.932025,Leaf Senescence,26
Luzula,confusa,-0.69225,0.536679,-1.82783,0.294327,Green up,1744
Luzula,confusa,-2.62727,0.761779,-4.21109,-1.26092,Flowering,1475
Luzula,confusa,-1.812322,0.6370609,-3.074096,-0.4984993,End of Flowering,1457
Luzula,confusa,-2.51042,1.910953,-6.48801,1.044295,Fruiting,1302
Luzula,confusa,-3.03359,1.511452,-6.12674,-0.14942,Seed Dispersal,642
Luzula,confusa,0.943041,0.57481,-0.0598,2.286774,Leaf Senescence,1228
Luzula,lutea,-2.38402,0.87848,-4.21357,-0.69928,Flowering,7
Luzula,nivalis,-1.98865,0.792669,-3.62152,-0.46253,Flowering,769
Luzula,nivalis,-1.73247,0.6883493,-3.061527,-0.3095575,End of Flowering,783
Luzula,nivalis,-2.41482,1.93077,-6.52394,1.247584,Fruiting,664
Luzula,nivalis,-2.81491,1.534864,-5.88598,0.274384,Seed Dispersal,372
Luzula,wahlenbergii,-0.7294,0.521351,-1.86771,0.224002,Green up,210
Luzula,wahlenbergii,-2.62108,0.880035,-4.53885,-0.9745,Flowering,13
Luzula,wahlenbergii,-2.64915,1.947794,-6.79714,0.979065,Fruiting,19
Luzula,wahlenbergii,0.80855,0.533914,-0.22932,1.944026,Leaf Senescence,126
Minuartia,obtusiloba,-0.7458,0.527951,-1.90968,0.213634,Green up,160
Minuartia,obtusiloba,-2.67584,0.859678,-4.50436,-1.11211,Flowering,145
Minuartia,obtusiloba,-1.910772,0.6503746,-3.228443,-0.6359492,End of Flowering,148
