"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"84","GAVIAPASS.SALIX.MC",2012,"OTC","LEUALP","seed_dispersal",26,0,"GAVIAPASS"
"85","GAVIAPASS.SALIX.MC",2012,"OTC","LEUALP","unopened_buds",26,11,"GAVIAPASS"
"86","GAVIAPASS.SALIX.MC",2012,"OTC","VERALP","anthesis",32,6,"GAVIAPASS"
"87","GAVIAPASS.SALIX.MC",2012,"OTC","VERALP","expanding_fruits",32,0,"GAVIAPASS"
"88","GAVIAPASS.SALIX.MC",2012,"OTC","VERALP","initiated_fruits",32,25,"GAVIAPASS"
"89","GAVIAPASS.SALIX.MC",2012,"OTC","VERALP","seed_dispersal",32,0,"GAVIAPASS"
"90","GAVIAPASS.SALIX.MC",2012,"OTC","VERALP","unopened_buds",32,1,"GAVIAPASS"
"91","GAVIAPASS.SALIX.MC",2013,"CTL","CARALP","anthesis",35,12,"GAVIAPASS"
"92","GAVIAPASS.SALIX.MC",2013,"CTL","CARALP","expanding_fruits",35,0,"GAVIAPASS"
"93","GAVIAPASS.SALIX.MC",2013,"CTL","CARALP","initiated_fruits",35,27,"GAVIAPASS"
"94","GAVIAPASS.SALIX.MC",2013,"CTL","CARALP","seed_dispersal",35,0,"GAVIAPASS"
"95","GAVIAPASS.SALIX.MC",2013,"CTL","CARALP","unopened_buds",35,4,"GAVIAPASS"
"96","GAVIAPASS.SALIX.MC",2013,"CTL","LEUALP","anthesis",26,0,"GAVIAPASS"
"97","GAVIAPASS.SALIX.MC",2013,"CTL","LEUALP","expanding_fruits",26,0,"GAVIAPASS"
"98","GAVIAPASS.SALIX.MC",2013,"CTL","LEUALP","initiated_fruits",26,3,"GAVIAPASS"
"99","GAVIAPASS.SALIX.MC",2013,"CTL","LEUALP","seed_dispersal",26,1,"GAVIAPASS"
"100","GAVIAPASS.SALIX.MC",2013,"CTL","LEUALP","unopened_buds",26,7,"GAVIAPASS"
"101","GAVIAPASS.SALIX.MC",2013,"CTL","VERALP","anthesis",22,4,"GAVIAPASS"
"102","GAVIAPASS.SALIX.MC",2013,"CTL","VERALP","expanding_fruits",22,0,"GAVIAPASS"
"103","GAVIAPASS.SALIX.MC",2013,"CTL","VERALP","initiated_fruits",22,5,"GAVIAPASS"
"104","GAVIAPASS.SALIX.MC",2013,"CTL","VERALP","seed_dispersal",22,4,"GAVIAPASS"
"105","GAVIAPASS.SALIX.MC",2013,"CTL","VERALP","unopened_buds",22,3,"GAVIAPASS"
"106","GAVIAPASS.SALIX.MC",2013,"OTC","CARALP","anthesis",25,8,"GAVIAPASS"
"107","GAVIAPASS.SALIX.MC",2013,"OTC","CARALP","expanding_fruits",25,0,"GAVIAPASS"
"108","GAVIAPASS.SALIX.MC",2013,"OTC","CARALP","initiated_fruits",25,18,"GAVIAPASS"
"109","GAVIAPASS.SALIX.MC",2013,"OTC","CARALP","seed_dispersal",25,0,"GAVIAPASS"
"110","GAVIAPASS.SALIX.MC",2013,"OTC","CARALP","unopened_buds",25,9,"GAVIAPASS"
"111","GAVIAPASS.SALIX.MC",2013,"OTC","LEUALP","anthesis",26,0,"GAVIAPASS"
"112","GAVIAPASS.SALIX.MC",2013,"OTC","LEUALP","expanding_fruits",26,4,"GAVIAPASS"
"113","GAVIAPASS.SALIX.MC",2013,"OTC","LEUALP","initiated_fruits",26,6,"GAVIAPASS"
"114","GAVIAPASS.SALIX.MC",2013,"OTC","LEUALP","seed_dispersal",26,0,"GAVIAPASS"
"115","GAVIAPASS.SALIX.MC",2013,"OTC","LEUALP","unopened_buds",26,16,"GAVIAPASS"
"116","GAVIAPASS.SALIX.MC",2013,"OTC","VERALP","anthesis",27,9,"GAVIAPASS"
"117","GAVIAPASS.SALIX.MC",2013,"OTC","VERALP","expanding_fruits",27,0,"GAVIAPASS"
"118","GAVIAPASS.SALIX.MC",2013,"OTC","VERALP","initiated_fruits",27,9,"GAVIAPASS"
"119","GAVIAPASS.SALIX.MC",2013,"OTC","VERALP","seed_dispersal",27,1,"GAVIAPASS"
"120","GAVIAPASS.SALIX.MC",2013,"OTC","VERALP","unopened_buds",27,11,"GAVIAPASS"
"121","GAVIAPASS.SALIX.MC",2014,"CTL","CARALP","anthesis",47,0,"GAVIAPASS"
"122","GAVIAPASS.SALIX.MC",2014,"CTL","CARALP","expanding_fruits",47,0,"GAVIAPASS"
"123","GAVIAPASS.SALIX.MC",2014,"CTL","CARALP","initiated_fruits",47,9,"GAVIAPASS"
"124","GAVIAPASS.SALIX.MC",2014,"CTL","CARALP","seed_dispersal",47,7,"GAVIAPASS"
"125","GAVIAPASS.SALIX.MC",2014,"CTL","CARALP","unopened_buds",47,0,"GAVIAPASS"
"126","GAVIAPASS.SALIX.MC",2014,"CTL","LEUALP","anthesis",18,0,"GAVIAPASS"
"127","GAVIAPASS.SALIX.MC",2014,"CTL","LEUALP","expanding_fruits",18,0,"GAVIAPASS"
"128","GAVIAPASS.SALIX.MC",2014,"CTL","LEUALP","initiated_fruits",18,0,"GAVIAPASS"
"129","GAVIAPASS.SALIX.MC",2014,"CTL","LEUALP","seed_dispersal",18,15,"GAVIAPASS"
"130","GAVIAPASS.SALIX.MC",2014,"CTL","LEUALP","unopened_buds",18,4,"GAVIAPASS"
"131","GAVIAPASS.SALIX.MC",2014,"CTL","VERALP","anthesis",3,0,"GAVIAPASS"
"132","GAVIAPASS.SALIX.MC",2014,"CTL","VERALP","expanding_fruits",3,1,"GAVIAPASS"
