"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
2001,"Lowfert_OTC","CASTET","frt_imm_f",15,14,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Lowfert_OTC","CASTET","sh_elo",15,4,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","bd_exp",15,12,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","fl_mat_f",15,8,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","frt_imm_f",15,13,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"OTC","CASTET","sh_elo",15,3,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","bd_exp",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","fl_mat_f",15,7,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","frt_imm_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","lv_sen",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","pd_elo",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","sh_bbk",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water","CASTET","sh_elo",15,0,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water_OTC","CASTET","bd_exp",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water_OTC","CASTET","fl_bud_f",0,15,"ALEXFIORD.FERT.GH","ALEXFIORD"
2001,"Water_OTC","CASTET","fl_mat_f",15,7,"ALEXFIORD.FERT.GH","ALEXFIORD"
