"site_name","subsite","year","treatment","plot","prior_visit","doy"
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert",35,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert",35,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert",35,"160",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Highfert_OTC",36,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Highfert_OTC",36,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Highfert_OTC",36,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Highfert_OTC",36,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Highfert_OTC",36,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Highfert_OTC",36,"NA",163
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Highfert_OTC",36,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL",37,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL",37,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL",37,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL",37,"157",158
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL",37,"163",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL",37,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"CTL",37,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC",38,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC",38,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC",38,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"OTC",38,"160",161
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC",38,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC",38,"163",165
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"OTC",38,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water",39,"168",169
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water",39,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water",39,"170",171
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water",39,"159",160
"ALEXFIORD","ALEXFIORD.FERT.GH",2008,"Water",39,"165",166
"ALEXFIORD","ALEXFIORD.FERT.GH",2010,"Water",39,"165",167
"ALEXFIORD","ALEXFIORD.FERT.GH",2011,"Water",39,"162",164
"ALEXFIORD","ALEXFIORD.FERT.GH",2003,"Water_OTC",40,"167",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2004,"Water_OTC",40,"161",162
"ALEXFIORD","ALEXFIORD.FERT.GH",2005,"Water_OTC",40,"166",168
"ALEXFIORD","ALEXFIORD.FERT.GH",2007,"Water_OTC",40,"160",161
